sid,link_name_ezpass,borough_ezpass,polyline_ezpass,link_length_ft_ezpass,aggregation_period_sec_ezpass,n_samples_ezpass,median_calculation_timestamp_ezpass,median_tt_sec_ezpass,median_speed_fps_ezpass,link_name_traffic,borough_traffic,polyline_traffic,link_length_ft_traffic,aggregation_period_sec_traffic,n_samples_traffic,median_calculation_timestamp_traffic,median_tt_sec_traffic,median_speed_fps_traffic
1004,42nd Street - Eastbound - Lexington Ave to 3rd Ave,Manhattan,agvwFxmobMfCeI,514.26,900,28,3/16/2026 16:15:01,69.5,7.4,42nd Street - Eastbound - Lexington Ave to 3rd Ave,Manhattan,agvwFxmobMfCeI,514.26,0,0,3/15/2026 12:40:12,0.0,0.0
1011,42nd Street - Westbound - Lexington Ave to Madison Ave,Manhattan,_hvwF|lobMmGhS,1024.34,900,9,3/16/2026 16:15:01,723.0,1.42,42nd Street - Westbound - Lexington Ave to Madison Ave,Manhattan,_hvwF|lobMmGhS,1024.34,0,0,3/15/2026 12:40:12,0.0,0.0
2001,Lexington Avenue - Southbound - 49th St to 42nd St,Manhattan,ecwwFdynbMlZhS,1836.18,900,55,3/16/2026 16:15:01,152.0,12.08,Lexington Avenue - Southbound - 49th St to 42nd St,Manhattan,ecwwFdynbMlZhS,1836.18,0,0,3/15/2026 12:40:12,0.0,0.0
3002,Lexington Avenue - Southbound - 57th St to 49th St,Manhattan,ybxwF`bnbM??vRxMzJfG,2109.11,900,36,3/16/2026 16:15:01,125.0,16.87,Lexington Avenue - Southbound - 57th St to 49th St,Manhattan,ybxwF`bnbM??vRxMzJfG,2109.11,900,20,3/15/2026 12:40:12,139.0,15.17
3006,57th Street - Eastbound - Lexington Ave to 3rd Ave,Manhattan,kbxwFlbnbMfAiD`AuC,508.77,900,24,3/16/2026 16:15:01,18.0,28.26,57th Street - Eastbound - Lexington Ave to 3rd Ave,Manhattan,kbxwFlbnbMfAiD`AuC,508.77,0,0,3/15/2026 12:40:12,0.0,0.0
4001,42nd Street - Westbound - 3rd Ave to Lexington Ave,Manhattan,ucvwF`cobMiCzH,504.02,900,37,3/16/2026 16:15:01,43.0,11.72,42nd Street - Westbound - 3rd Ave to Lexington Ave,Manhattan,ucvwF`cobMiCzH,504.02,0,0,3/15/2026 12:40:12,0.0,0.0
4005,3rd Avenue - Northbound - 42nd St to 49th St,Manhattan,icvwFhcobMgCyAoVgP,1847.0,900,35,3/16/2026 16:15:01,131.0,14.1,3rd Avenue - Northbound - 42nd St to 49th St,Manhattan,icvwFhcobMgCyAoVgP,1847.0,0,0,3/15/2026 12:40:12,0.0,0.0
4042,42nd Street - Eastbound - 3rd Ave to 2nd Ave,Manhattan,ybvwFrcobM|DaM,711.89,900,4,3/16/2026 16:15:01,187.0,3.81,42nd Street - Eastbound - 3rd Ave to 2nd Ave,Manhattan,ybvwFrcobM|DaM,711.89,0,0,3/15/2026 12:40:12,0.0,0.0
5006,3rd Avenue - Northbound - 49th St to 57th St,Manhattan,a_wwFfonbMq^aV,2105.67,900,23,3/16/2026 16:15:01,328.0,6.42,3rd Avenue - Northbound - 49th St to 57th St,Manhattan,a_wwFfonbMq^aV,2105.67,900,20,3/15/2026 12:40:12,73.5,28.65
6003,57th Street - Westbound - 3rd Ave to Lexington Ave,Manhattan,a_xwFxwmbMeC|H,502.77,900,47,3/16/2026 16:15:01,52.0,9.67,57th Street - Westbound - 3rd Ave to Lexington Ave,Manhattan,a_xwFxwmbMeC|H,502.77,900,39,3/15/2026 12:40:12,21.0,23.94
8118,34th Street - Westbound - Madison Ave to 5th Ave,Manhattan,{puwFdxpbMeC|H,502.84,900,2,3/16/2026 16:15:01,45.0,11.17,34th Street - Westbound - Madison Ave to 5th Ave,Manhattan,{puwFdxpbMeC|H,502.84,900,28,3/15/2026 12:40:12,24.5,20.52
11001,42nd Street - Eastbound - Madison Ave to Lexington Ave,Manhattan,qovwFxapbMxCiJtBuG,1014.02,900,34,3/16/2026 16:15:01,126.0,8.05,42nd Street - Eastbound - Madison Ave to Lexington Ave,Manhattan,qovwFxapbMxCiJtBuG,1014.02,0,0,3/15/2026 12:40:12,0.0,0.0
11012,Madison Avenue - Northbound - 42nd St to 49th St,Manhattan,_pvwFpapbMaG{DyJuGwFqD,1841.72,900,19,3/16/2026 16:15:01,770.0,2.39,Madison Avenue - Northbound - 42nd St to 49th St,Manhattan,_pvwFpapbMaG{DyJuGwFqD,1841.72,0,0,3/15/2026 12:40:12,0.0,0.0
11014,42nd Street - Westbound - Madison Ave to 5th Ave,Manhattan,mpvwFfapbMgC`I,509.42,900,5,3/16/2026 16:15:01,247.0,2.06,42nd Street - Westbound - Madison Ave to 5th Ave,Manhattan,mpvwFfapbMgC`I,509.42,0,0,3/15/2026 12:40:12,0.0,0.0
12015,49th Street - Westbound - Madison Ave to 5th Ave,Manhattan,ukwwFfmobMgCbI,511.81,900,10,3/16/2026 16:15:01,40.0,12.8,49th Street - Westbound - Madison Ave to 5th Ave,Manhattan,ukwwFfmobMgCbI,511.81,900,19,3/15/2026 12:40:12,31.0,16.51
14011,42nd Street - Eastbound - 5th Ave to Madison Ave,Manhattan,wsvwF|kpbMdCcI,510.08,900,6,3/16/2026 16:15:01,83.0,6.15,42nd Street - Eastbound - 5th Ave to Madison Ave,Manhattan,wsvwF|kpbMdCcI,510.08,0,0,3/15/2026 12:40:12,0.0,0.0
14118,5th Avenue - Southbound - 42nd St to 34th St,Manhattan,ktvwFpkpbMt^xU,2106.79,900,12,3/16/2026 16:15:01,198.5,10.61,5th Avenue - Southbound - 42nd St to 34th St,Manhattan,ktvwFpkpbMt^xU,2106.79,0,0,3/15/2026 12:40:12,0.0,0.0
15014,5th Avenue - Southbound - 49th St to 42th St,Manhattan,}owwFhwobMvFxDzFrD`KzG,1848.97,900,14,3/16/2026 16:15:01,315.5,5.86,5th Avenue - Southbound - 49th St to 42th St,Manhattan,}owwFhwobMvFxDzFrD`KzG,1848.97,0,0,3/15/2026 12:40:12,0.0,0.0
15018,49th Street - Westbound - 5th Ave to 6th Ave,Manhattan,}owwFhwobMoGdS,1021.19,900,28,3/16/2026 16:15:01,81.5,12.53,49th Street - Westbound - 5th Ave to 6th Ave,Manhattan,}owwFhwobMoGdS,1021.19,0,0,3/15/2026 12:40:12,0.0,0.0
16015,5th Avenue - Southbound - 57th St to 49th St,Manhattan,ooxwFh`obMdC`B|BxAxB`BzB~A`CpAvFtD|BxA,2105.11,900,11,3/16/2026 16:15:01,494.0,4.26,5th Avenue - Southbound - 57th St to 49th St,Manhattan,ooxwFh`obMdC`B|BxAxB`BzB~A`CpAvFtD|BxA,2105.11,900,16,3/15/2026 12:40:12,194.0,10.85
16019,57th Street - Westbound - 5th Ave to 6th Ave,Manhattan,_pxwF~_obMoGdS,1021.13,900,40,3/16/2026 16:15:01,71.0,14.38,57th Street - Westbound - 5th Ave to 6th Ave,Manhattan,_pxwF~_obMoGdS,1021.13,0,0,3/15/2026 12:40:12,0.0,0.0
17018,6th Avenue - Northbound - 42nd St to 49th St,Manhattan,y|vwFx_qbMaK}GwFqDyFwD,1844.4,900,25,3/16/2026 16:15:01,149.0,12.38,6th Avenue - Northbound - 42nd St to 49th St,Manhattan,y|vwFx_qbMaK}GwFqDyFwD,1844.4,0,0,3/15/2026 12:40:12,0.0,0.0
18019,6th Avenue - Northbound - 49th St to 57th St,Manhattan,kxwwFpkpbMyJoGiFgDqKgH,2110.72,900,14,3/16/2026 16:15:01,327.0,6.45,6th Avenue - Northbound - 49th St to 57th St,Manhattan,kxwwFpkpbMyJoGiFgDqKgH,2110.72,0,0,3/15/2026 12:40:12,0.0,0.0
18037,49th Street - Westbound - 6th Ave to 7th Ave,Manhattan,mxwwFpkpbMoF|P,905.87,900,26,3/16/2026 16:15:01,181.0,5.0,49th Street - Westbound - 6th Ave to 7th Ave,Manhattan,mxwwFpkpbMoF|P,905.87,0,0,3/15/2026 12:40:12,0.0,0.0
19056,57th Street - Westbound - 6th Ave to 7th Ave,Manhattan,qxxwFdtobMoFvP,898.57,900,58,3/16/2026 16:15:01,48.0,18.72,57th Street - Westbound - 6th Ave to 7th Ave,Manhattan,qxxwFdtobMoFvP,898.57,0,0,3/15/2026 12:40:12,0.0,0.0
20103,34th Street - Eastbound - 3rd Ave to 2nd Ave,Manhattan,gcuwFpzobMxD}L,703.56,900,3,3/16/2026 16:15:01,271.0,2.6,34th Street - Eastbound - 3rd Ave to 2nd Ave,Manhattan,gcuwFpzobMxD}L,703.56,0,0,3/15/2026 12:40:12,0.0,0.0
21003,Lexington Avenue - Southbound - 72nd St to 57th St,Manhattan,e~ywFzvlbMbOrJrNjJxFtDxRnM,3956.84,900,26,3/16/2026 16:15:01,646.5,6.12,Lexington Avenue - Southbound - 72nd St to 57th St,Manhattan,e~ywFzvlbMbOrJrNjJxFtDxRnM,3956.84,900,30,3/15/2026 12:40:12,184.0,21.5
21022,72nd Street - Westbound - Lexington Ave to 5th Ave,Manhattan,q~ywFnvlbMsK`],1519.55,900,12,3/16/2026 16:15:01,187.5,8.1,72nd Street - Westbound - Lexington Ave to 5th Ave,Manhattan,q~ywFnvlbMsK`],1519.55,0,0,3/15/2026 12:40:12,0.0,0.0
21193,72nd Street - Eastbound - Lexington Ave to 2nd Ave,Manhattan,}}ywF~vlbMrC_JrAgEn@wAl@uB,1205.26,900,29,3/16/2026 16:15:01,126.0,9.57,72nd Street - Eastbound - Lexington Ave to 2nd Ave,Manhattan,}}ywF~vlbMrC_JrAgEn@wAl@uB,1205.26,900,31,3/15/2026 12:40:12,93.0,12.96
22016,5th Avenue - Southbound - 72nd St to 57th St,Manhattan,yjzwF|tmbM|NrJtRhMtVlP,3957.63,900,18,3/16/2026 16:15:01,544.0,7.28,5th Avenue - Southbound - 72nd St to 57th St,Manhattan,yjzwF|tmbM|NrJtRhMtVlP,3957.63,900,20,3/15/2026 12:40:12,264.0,14.99
22021,72nd Street - Eastbound - 5th Ave to Lexington Ave,Manhattan,kjzwFfumbMtKa],1521.33,900,5,3/16/2026 16:15:01,80.0,19.02,72nd Street - Eastbound - 5th Ave to Lexington Ave,Manhattan,kjzwFfumbMtKa],1521.33,900,10,3/15/2026 12:40:12,172.0,8.84
23017,6th Avenue - Northbound - 34th St to 42nd St,Manhattan,c}uwFnvqbMu^wU,2105.46,900,19,3/16/2026 16:15:01,310.0,6.79,6th Avenue - Northbound - 34th St to 42nd St,Manhattan,c}uwFnvqbMu^wU,2105.46,0,0,3/15/2026 12:40:12,0.0,0.0
23060,34th Street - Westbound - 6th Ave to 7th Ave,Manhattan,q}uwFdvqbMqF~P,910.15,900,4,3/16/2026 16:15:01,234.5,3.88,34th Street - Westbound - 6th Ave to 7th Ave,Manhattan,q}uwFdvqbMqF~P,910.15,900,7,3/15/2026 12:40:12,661.0,1.38
23118,34th Street - Eastbound - 6th Ave to 5th Ave,Manhattan,w|uwFzvqbMlGeS,1019.53,900,38,3/16/2026 16:15:01,72.5,14.06,34th Street - Eastbound - 6th Ave to 5th Ave,Manhattan,w|uwFzvqbMlGeS,1019.53,900,73,3/15/2026 12:40:12,60.0,16.99
34025,Belt Pkwy - Westbound - Flatbush Ave to Ocean Pkwy,Brooklyn,u~wvFfdbbMxErAnFb@xDOdJy@jF\`Dr@fFtCfEfEtCvElD|HlChI`BpKfAfNLnPWxLyA|PcDxQ{BhKo@`GQjHd@dK`Epb@~@jQh@nRFjFQtHu@bIg@~LDbKr@bLtBvWr@bU,19653.72,900,26,3/16/2026 16:15:01,492.0,39.95,Belt Pkwy - Westbound - Flatbush Ave to Ocean Pkwy,Brooklyn,u~wvFfdbbMxErAnFb@xDOdJy@jF\`Dr@fFtCfEfEtCvElD|HlChI`BpKfAfNLnPWxLyA|PcDxQ{BhKo@`GQjHd@dK`Epb@~@jQh@nRFjFQtHu@bIg@~LDbKr@bLtBvWr@bU,19653.72,900,35,3/15/2026 12:40:12,282.0,69.69
37038,49th Street - Westbound - 7th Ave to 8th Ave,Manhattan,_`xwFp}pbMkFnP,885.4,900,36,3/16/2026 16:15:01,178.0,4.97,49th Street - Westbound - 7th Ave to 8th Ave,Manhattan,_`xwFp}pbMkFnP,885.4,0,0,3/15/2026 12:40:12,0.0,0.0
37059,7th Avenue - Southbound - 49th St to 42nd St,Manhattan,_`xwFn}pbMxN~I`K|G,1850.67,900,18,3/16/2026 16:15:01,127.5,14.52,7th Avenue - Southbound - 49th St to 42nd St,Manhattan,_`xwFn}pbMxN~I`K|G,1850.67,0,0,3/15/2026 12:40:12,0.0,0.0
38039,49th Street - Westbound - 8th Ave to 9th Ave,Manhattan,igxwF~nqbMsF~P,911.8,900,48,3/16/2026 16:15:01,41.0,22.24,49th Street - Westbound - 8th Ave to 9th Ave,Manhattan,igxwF~nqbMsF~P,911.8,900,54,3/15/2026 12:40:12,68.0,13.41
38054,8th Avenue - Northbound - 49th St to 57th St,Manhattan,kgxwF`oqbM}B{A}B{A{ByA}B{A{ByA}B}A}ByAeCaB,2108.84,900,22,3/16/2026 16:15:01,85.0,24.81,8th Avenue - Northbound - 49th St to 57th St,Manhattan,kgxwF`oqbM}B{A}B{A{ByA}B{A{ByA}B}A}ByAeCaB,2108.84,900,2,3/15/2026 12:40:12,237.0,8.9
39049,9th Avenue - Southbound - 49th St to 42nd St,Manhattan,}nxwF|`rbMxNhJ~JvG,1849.95,900,46,3/16/2026 16:15:01,123.5,14.98,9th Avenue - Southbound - 49th St to 42nd St,Manhattan,}nxwF|`rbMxNhJ~JvG,1849.95,900,14,3/15/2026 12:40:12,410.5,4.51
39085,49th Street - Westbound - 9th Ave to 10th Ave,Manhattan,{nxwFx`rbMoFvP,898.58,900,38,3/16/2026 16:15:01,83.0,10.83,49th Street - Westbound - 9th Ave to 10th Ave,Manhattan,{nxwFx`rbMoFvP,898.58,900,41,3/15/2026 12:40:12,40.0,22.46
41203,57th St - westbound - 1 Ave to QBB UL Entrance,Manhattan,qrwwFb{lbMcCtH,492.42,900,7,3/16/2026 16:15:01,79.0,6.23,57th St - westbound - 1 Ave to QBB UL Entrance,Manhattan,qrwwFb{lbMcCtH,492.42,900,3,3/15/2026 12:40:12,17.0,28.97
42004,42nd Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,w}uwF|tnbM}D`M,711.89,900,37,3/16/2026 16:15:01,54.0,13.18,42nd Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,w}uwF|tnbM}D`M,711.89,900,2,3/15/2026 12:40:12,35.0,20.34
42103,2nd Avenue -  Southbound - 42nd St to 34th St,Manhattan,c}uwFfunbMj^`V,2096.18,900,5,3/16/2026 16:15:01,130.0,16.12,2nd Avenue -  Southbound - 42nd St to 34th St,Manhattan,c}uwFfunbMj^`V,2096.18,0,0,3/15/2026 12:40:12,0.0,0.0
43051,72nd Street - Westbound - Columbus Ave (9th Ave) to Broadway,Manhattan,ij{wFb~obMoFtPe@|A,1043.2,900,11,3/16/2026 16:15:01,66.0,15.81,72nd Street - Westbound - Columbus Ave (9th Ave) to Broadway,Manhattan,ij{wFb~obMoFtPe@|A,1043.2,900,12,3/15/2026 12:40:12,47.0,22.2
43058,9th Avenue - Southbound - 72nd St to 57th St,Manhattan,yi{wFn~obMtZhStJrG~BtAxB|AbKtG,3955.13,900,8,3/16/2026 16:15:01,314.5,12.58,9th Avenue - Southbound - 72nd St to 57th St,Manhattan,yi{wFn~obMtZhStJrG~BtAxB|AbKtG,3955.13,900,4,3/15/2026 12:40:12,650.5,6.08
45102,1st Avenue - Northbound - 23rd St to 34th St,Manhattan,ilswF`}obMaj@y^,2880.52,900,31,3/16/2026 16:15:01,224.0,12.86,1st Avenue - Northbound - 23rd St to 34th St,Manhattan,ilswF`}obMaj@y^,2880.52,900,60,3/15/2026 12:40:12,170.0,16.94
45105,23rd Street - Westbound - 1st Ave to 2nd Ave,Manhattan,mmswFb|obMcE~M,753.61,900,8,3/16/2026 16:15:01,30.0,25.12,23rd Street - Westbound - 1st Ave to 2nd Ave,Manhattan,mmswFb|obMcE~M,753.61,0,0,3/15/2026 12:40:12,0.0,0.0
46042,2nd Avenue - Southbound - 49th St to 42nd St,Manhattan,ayvwFbanbM|L|HxLdI,1848.17,900,15,3/16/2026 16:15:01,171.0,10.81,2nd Avenue - Southbound - 49th St to 42nd St,Manhattan,ayvwFbanbM|L|HxLdI,1848.17,0,0,3/15/2026 12:40:12,0.0,0.0
48042,42nd Street - Westbound - 1st Ave to 2nd Ave,Manhattan,qwuwF`fnbMeExM,747.98,900,7,3/16/2026 16:15:01,59.0,12.68,42nd Street - Westbound - 1st Ave to 2nd Ave,Manhattan,qwuwF`fnbMeExM,747.98,0,0,3/15/2026 12:40:12,0.0,0.0
49053,42nd Street - Eastbound - 9th Ave to 8th Ave,Manhattan,urwwFhurbMlFyP,899.29,900,23,3/16/2026 16:15:01,58.0,15.5,42nd Street - Eastbound - 9th Ave to 8th Ave,Manhattan,urwwFhurbMlFyP,899.29,900,4,3/15/2026 12:40:12,715.5,1.26
49109,42nd Street - Westbound - 9th Ave to 10th Ave,Manhattan,ctwwFhtrbMkFzP,899.94,900,10,3/16/2026 16:15:01,81.0,11.11,42nd Street - Westbound - 9th Ave to 10th Ave,Manhattan,ctwwFhtrbMkFzP,899.94,0,0,3/15/2026 12:40:12,0.0,0.0
49119,9th Avenue - Southbound - 42nd St to 37th St,Manhattan,cswwF~trbMnRbM,1298.3,900,76,3/16/2026 16:15:01,100.5,12.92,9th Avenue - Southbound - 42nd St to 37th St,Manhattan,cswwF~trbMnRbM,1298.3,900,45,3/15/2026 12:40:12,217.0,5.98
50057,8th Avenue - Northbound - 23rd St to 34th St,Manhattan,aauwFpysbMcj@m^,2875.57,900,2,3/16/2026 16:15:01,232.0,12.39,8th Avenue - Northbound - 23rd St to 34th St,Manhattan,aauwFpysbMcj@m^,2875.57,900,4,3/15/2026 12:40:12,341.5,8.42
50106,23rd Street - Eastbound - 8th Ave to 7th Ave,Manhattan,m`uwF`zsbMhFwP,893.5,900,42,3/16/2026 16:15:01,64.5,13.85,23rd Street - Eastbound - 8th Ave to 7th Ave,Manhattan,m`uwF`zsbMhFwP,893.5,900,57,3/15/2026 12:40:12,44.0,20.31
51043,72nd Street - Eastbound - Broadway to Columbus Ave (9th Ave),Manhattan,{q{wF~rpbM^qAnFsP,1021.03,900,2,3/16/2026 16:15:01,98.0,10.42,72nd Street - Eastbound - Broadway to Columbus Ave (9th Ave),Manhattan,{q{wF~rpbM^qAnFsP,1021.03,900,2,3/15/2026 12:40:12,294.0,3.47
51052,Broadway - Southbound - 72nd St to 57th St,Manhattan,mr{wFzrpbMhDVxSXpH?hNKrIIvAAd@HPN\Ff@QTe@Bg@^[PIf@D`Eb@,4661.61,900,3,3/16/2026 16:15:01,437.0,10.67,Broadway - Southbound - 72nd St to 57th St,Manhattan,mr{wFzrpbMhDVxSXpH?hNKrIIvAAd@HPN\Ff@QTe@Bg@^[PIf@D`Eb@,4661.61,900,5,3/15/2026 12:40:12,611.0,7.63
52054,57th Street - Westbound - Broadway to 8th Ave,Manhattan,_eywFtqpbMoA|D,300.32,900,6,3/16/2026 16:15:01,394.5,0.76,57th Street - Westbound - Broadway to 8th Ave,Manhattan,_eywFtqpbMoA|D,300.32,900,4,3/15/2026 12:40:12,407.5,0.74
53038,8th Avenue - Northbound - 42nd St to 49th St,Manhattan,ukwwFfcrbMeCcB_C{A{BwA{B}A{ByA}B{A}ByA,1846.29,900,33,3/16/2026 16:15:01,141.0,13.09,8th Avenue - Northbound - 42nd St to 49th St,Manhattan,ukwwFfcrbMeCcB_C{A{BwA{B}A{ByA}B{A}ByA,1846.29,900,2,3/15/2026 12:40:12,329.0,5.61
53049,42nd Street - Westbound - 8th Ave to 9th Ave,Manhattan,alwwFtbrbMqFzP,905.24,900,19,3/16/2026 16:15:01,150.0,6.03,42nd Street - Westbound - 8th Ave to 9th Ave,Manhattan,alwwFtbrbMqFzP,905.24,900,5,3/15/2026 12:40:12,594.0,1.52
53059,42nd Street - Eastbound - 8th Ave to 7th Ave,Manhattan,ekwwFncrbMlFyP,899.3,900,2,3/16/2026 16:15:01,120.0,7.49,42nd Street - Eastbound - 8th Ave to 7th Ave,Manhattan,ekwwFncrbMlFyP,899.3,0,0,3/15/2026 12:40:12,0.0,0.0
54052,57th Street - Eastbound - 8th Ave to Broadway,Manhattan,ofywFhxpbMtAmE,324.96,900,5,3/16/2026 16:15:01,14.0,23.21,57th Street - Eastbound - 8th Ave to Broadway,Manhattan,ofywFhxpbMtAmE,324.96,900,5,3/15/2026 12:40:12,208.0,1.56
54058,57th Street - Westbound - 8th Ave to 9th Ave,Manhattan,mgywFrwpbMqFxP,902.73,900,46,3/16/2026 16:15:01,51.5,17.53,57th Street - Westbound - 8th Ave to 9th Ave,Manhattan,mgywFrwpbMqFxP,902.73,900,27,3/15/2026 12:40:12,89.0,10.14
56052,57th Street - Westbound - 7th Ave to Broadway,Manhattan,_`ywF|epbM_DxJ,598.23,900,2,3/16/2026 16:15:01,185.0,3.23,57th Street - Westbound - 7th Ave to Broadway,Manhattan,_`ywF|epbM_DxJ,598.23,0,0,3/15/2026 12:40:12,0.0,0.0
