sid,link_name_ezpass,borough_ezpass,polyline_ezpass,link_length_ft_ezpass,aggregation_period_sec_ezpass,n_samples_ezpass,median_calculation_timestamp_ezpass,median_tt_sec_ezpass,median_speed_fps_ezpass,link_name_traffic,borough_traffic,polyline_traffic,link_length_ft_traffic,aggregation_period_sec_traffic,n_samples_traffic,median_calculation_timestamp_traffic,median_tt_sec_traffic,median_speed_fps_traffic
57053,8th Avenue - Northbound - 34th St to 42nd St,Manhattan,elvwFbzrbMm^}U,2096.63,900,25,3/16/2026 16:15:01,317.0,6.61,8th Avenue - Northbound - 34th St to 42nd St,Manhattan,elvwFbzrbMm^}U,2096.63,900,20,3/15/2026 12:40:12,216.0,9.71
57060,34th Street - Eastbound - 8th Ave to 7th Ave,Manhattan,wkvwFlzrbMlFuP,894.52,900,8,3/16/2026 16:15:01,937.0,0.95,34th Street - Eastbound - 8th Ave to 7th Ave,Manhattan,wkvwFlzrbMlFuP,894.52,0,0,3/15/2026 12:40:12,0.0,0.0
57061,34th Street - Westbound - 8th Ave to 9th Ave,Manhattan,qlvwFzyrbMqFvP,900.47,900,29,3/16/2026 16:15:01,74.0,12.17,34th Street - Westbound - 8th Ave to 9th Ave,Manhattan,qlvwFzyrbMqFvP,900.47,900,44,3/15/2026 12:40:12,84.5,10.66
58039,9th Avenue - Southbound - 57th St to 49th St,Manhattan,onywFviqbMt^bV,2113.33,900,46,3/16/2026 16:15:01,195.5,10.81,9th Avenue - Southbound - 57th St to 49th St,Manhattan,onywFviqbMt^bV,2113.33,900,20,3/15/2026 12:40:12,426.0,4.96
58054,57th Street - Eastbound - 9th Ave to 8th Ave,Manhattan,}mywFbjqbMjFsP,890.17,900,6,3/16/2026 16:15:01,49.0,18.17,57th Street - Eastbound - 9th Ave to 8th Ave,Manhattan,}mywFbjqbMjFsP,890.17,0,0,3/15/2026 12:40:12,0.0,0.0
58077,57th Street - Westbound - 9th Ave (Columbus Ave) to 10th Ave (Amsterdam Ave),Manhattan,}nywFhiqbMmFzP,901.6,900,11,3/16/2026 16:15:01,42.0,21.47,57th Street - Westbound - 9th Ave (Columbus Ave) to 10th Ave (Amsterdam Ave),Manhattan,}nywFhiqbMmFzP,901.6,900,5,3/15/2026 12:40:12,62.0,14.54
59060,7th Avenue - Southbound - 42nd St to 34th St,Manhattan,edwwFjqqbMvNpJlJvGfBdA`@P,2103.3,900,32,3/16/2026 16:15:01,276.5,7.61,7th Avenue - Southbound - 42nd St to 34th St,Manhattan,edwwFjqqbMvNpJlJvGfBdA`@P,2103.3,0,0,3/15/2026 12:40:12,0.0,0.0
60023,34th Street - Eastbound - 7th Ave to 6th Ave,Manhattan,idvwFvhrbMpF_Q,910.15,900,36,3/16/2026 16:15:01,99.5,9.15,34th Street - Eastbound - 7th Ave to 6th Ave,Manhattan,idvwFvhrbMpF_Q,910.15,900,54,3/15/2026 12:40:12,138.0,6.6
60106,7th Avenue - Southbound - 34th St to 23rd St,Manhattan,sdvwFlhrbM`j@n^,2873.73,900,60,3/16/2026 16:15:01,195.5,14.7,7th Avenue - Southbound - 34th St to 23rd St,Manhattan,sdvwFlhrbM`j@n^,2873.73,900,34,3/15/2026 12:40:12,104.0,27.63
62074,Hylan Blvd - Northbound - New Dorp Ln to Midland Ave,Staten Island,a|rvFdpicMqBqByEwEkBoBoBeBmByByCuCkBoBsBuBgDmDuCiCkCcC,3425.74,900,105,3/16/2026 16:15:01,167.0,20.51,Hylan Blvd - Northbound - New Dorp Ln to Midland Ave,Staten Island,a|rvFdpicMqBqByEwEkBoBoBeBmByByCuCkBoBsBuBgDmDuCiCkCcC,3425.74,900,107,3/15/2026 12:40:12,144.0,23.79
63074,Father Capodanno Blvd @ Seaview Ave to Hyland Blvd @ Midland Ave via Midland Ave,Staten Island,wstvF~iccMlFlGhEhItD`I~GhNlB`EtErJ|AzCn@z@rArArBjBjB`BuAzCoApC_DbH_DdHoArC}C`H_ArBgGfNc@l@_@`@gDzBcCrF,8868.3,900,33,3/16/2026 16:15:01,370.0,23.97,Father Capodanno Blvd @ Seaview Ave to Hyland Blvd @ Midland Ave via Midland Ave,Staten Island,wstvF~iccMlFlGhEhItD`I~GhNlB`EtErJ|AzCn@z@rArArBjBjB`BuAzCoApC_DbH_DdHoArC}C`H_ArBgGfNc@l@_@`@gDzBcCrF,8868.3,900,16,3/15/2026 12:40:12,249.5,35.54
66067,Hylan Blvd - Northbound -  Seaview Ave to Narrows Rd South Via Steuben St,Staten Island,o`vvFfbfcMgFuFyJaIaIgHiPeGmKgD_EgAwAgBqEqPFcS{EsH{HoDeFz@{ClAqMaA,9054.74,900,5,3/16/2026 16:15:01,505.0,17.93,Hylan Blvd - Northbound -  Seaview Ave to Narrows Rd South Via Steuben St,Staten Island,o`vvFfbfcMgFuFyJaIaIgHiPeGmKgD_EgAwAgBqEqPFcS{EsH{HoDeFz@{ClAqMaA,9054.74,0,0,3/15/2026 12:40:12,0.0,0.0
66128,Hylan Blvd - Northbound - Seaview Ave to Fingerboard Rd West,Staten Island,aavvFpafcM}XaV}BgBaDuAa]wKmBqCcEgQA}FRyJRkGrCcLJcCMqB}@gCeAaBcCaB,8346.72,900,2,3/16/2026 16:15:01,379.0,22.02,Hylan Blvd - Northbound - Seaview Ave to Fingerboard Rd West,Staten Island,aavvFpafcM}XaV}BgBaDuAa]wKmBqCcEgQA}FRyJRkGrCcLJcCMqB}@gCeAaBcCaB,8346.72,900,2,3/15/2026 12:40:12,272.0,30.69
67068,Narrows Rd South - Eastbound - Hylan Blvd to Fingerboard Rd,Staten Island,ewyvFfbccMj@aLxBkOxE{O,2190.4,900,3,3/16/2026 16:15:01,59.0,37.13,Narrows Rd South - Eastbound - Hylan Blvd to Fingerboard Rd,Staten Island,ewyvFfbccMj@aLxBkOxE{O,2190.4,0,0,3/15/2026 12:40:12,0.0,0.0
70071,Flatbush Ave - Southbound - Willoughby St to Atlantic Ave,Brooklyn,}tjwFdwpbMtEiB|EqBvD_BnMoIzJqGhCgB,3257.94,900,100,3/16/2026 16:15:01,344.5,9.46,Flatbush Ave - Southbound - Willoughby St to Atlantic Ave,Brooklyn,}tjwFdwpbMtEiB|EqBvD_BnMoIzJqGhCgB,3257.94,900,56,3/15/2026 12:40:12,274.0,11.89
71070,Flatbush Ave - Northbound - Atlantic Ave to Willoughvy St,Brooklyn,waiwFntobMwDfCk@ZaIlFcLhHaFvBiLpE,3291.08,900,86,3/16/2026 16:15:01,384.5,8.56,Flatbush Ave - Northbound - Atlantic Ave to Willoughvy St,Brooklyn,waiwFntobMwDfCk@ZaIlFcLhHaFvBiLpE,3291.08,900,59,3/15/2026 12:40:12,485.0,6.79
71201,Atlantic Avenue - Eastbound - Flatbush Ave to Carlton Ave,Brooklyn,}aiwFvuobMnBaHzBuRdBiL,1965.26,900,110,3/16/2026 16:15:01,131.0,15.0,Atlantic Avenue - Eastbound - Flatbush Ave to Carlton Ave,Brooklyn,}aiwFvuobMnBaHzBuRdBiL,1965.26,900,99,3/15/2026 12:40:12,50.0,39.31
74062,Hylan Blvd - Southbound - Midland Ave to New Dorp Ln,Staten Island,qktvF`chcMdHvGdDjDjCjCrBnBpBtBrBtBlBlBhBjBhBjBlBrBtBnB,3425.55,900,73,3/16/2026 16:15:01,448.0,7.65,Hylan Blvd - Southbound - Midland Ave to New Dorp Ln,Staten Island,qktvF`chcMdHvGdDjDjCjCrBnBpBtBrBtBlBlBhBjBhBjBlBrBtBnB,3425.55,900,61,3/15/2026 12:40:12,889.0,3.85
74063,Hylan Blvd @ Midland Ave to Father Capodanno Blvd @ Seaview Ave via Midland Ave,Staten Island,yjtvFrbhcM|BkFdE_DbA{ArAyC|CeH`AqB|CcH|CcH`DeH|CcHjBoEaIsHi@s@wAsCu@{AcAqBsEmJcEqIyAyCwDaIiDcHu@iA{EsF,8988.5,900,12,3/16/2026 16:15:01,286.0,31.43,Hylan Blvd @ Midland Ave to Father Capodanno Blvd @ Seaview Ave via Midland Ave,Staten Island,yjtvFrbhcM|BkFdE_DbA{ArAyC|CeH`AqB|CcH|CcH`DeH|CcHjBoEaIsHi@s@wAsCu@{AcAqBsEmJcEqIyAyCwDaIiDcHu@iA{EsF,8988.5,900,6,3/15/2026 12:40:12,557.5,16.12
74066,Hylan Blvd - Northbound - Midland Ave to Seaview Ave,Staten Island,yjtvFtahcMmCcCgBsBgBmCmE_GeB}BuBqCqFqHuBuCqBkCmBmCcB{BgC}C{CgC,4305.32,900,17,3/16/2026 16:15:01,261.0,16.5,Hylan Blvd - Northbound - Midland Ave to Seaview Ave,Staten Island,yjtvFtahcMmCcCgBsBgBmCmE_GeB}BuBqCqFqHuBuCqBkCmBmCcB{BgC}C{CgC,4305.32,900,27,3/15/2026 12:40:12,155.0,27.78
75079,10th Avenue - Northbound - 14th St to 23rd St,Manhattan,cmtwFjvubMaAo@WE}^kV,2313.62,900,12,3/16/2026 16:15:01,120.0,19.28,10th Avenue - Northbound - 14th St to 23rd St,Manhattan,cmtwFjvubMaAo@WE}^kV,2313.62,900,5,3/15/2026 12:40:12,127.0,18.22
77058,57th Street - Eastbound - 10th Ave (Amsterdam Ave) to 9th Ave (Columbus Ave),Manhattan,ouywFx{qbMnFwP,898.53,900,5,3/16/2026 16:15:01,56.0,16.05,57th Street - Eastbound - 10th Ave (Amsterdam Ave) to 9th Ave (Columbus Ave),Manhattan,ouywFx{qbMnFwP,898.53,900,5,3/15/2026 12:40:12,653.0,1.38
77081,57th Street - Westbound - 10th Ave (Amsterdam Ave) to 11th Ave,Manhattan,kvywFd{qbMqFvP,900.3,900,11,3/16/2026 16:15:01,39.0,23.08,57th Street - Westbound - 10th Ave (Amsterdam Ave) to 11th Ave,Manhattan,kvywFd{qbMqFvP,900.3,900,16,3/15/2026 12:40:12,70.5,12.77
78108,34th Street - Westbound - 10th Ave to 11th Ave,Manhattan,c|vwF`}sbMgFxP,894.08,900,13,3/16/2026 16:15:01,128.0,6.98,34th Street - Westbound - 10th Ave to 11th Ave,Manhattan,c|vwF`}sbMgFxP,894.08,900,19,3/15/2026 12:40:12,89.0,10.05
78109,10th Avenue - Northbound - 34th St to 42nd St,Manhattan,a{vwFv}sbMu^}U,2109.4,900,2,3/16/2026 16:15:01,114.0,18.5,10th Avenue - Northbound - 34th St to 42nd St,Manhattan,a{vwFv}sbMu^}U,2109.4,0,0,3/15/2026 12:40:12,0.0,0.0
80109,42nd Street - Eastbound - 11th Ave to 10th Ave,Manhattan,maxwFbysbMhF{P,898.19,900,3,3/16/2026 16:15:01,188.0,4.78,42nd Street - Eastbound - 11th Ave to 10th Ave,Manhattan,maxwFbysbMhF{P,898.19,0,0,3/15/2026 12:40:12,0.0,0.0
81077,57th Street - Eastbound - 11th Ave to 10th Ave (Amsterdam Ave),Manhattan,_}ywFrmrbMnFyP,900.93,900,4,3/16/2026 16:15:01,112.0,8.04,57th Street - Eastbound - 11th Ave to 10th Ave (Amsterdam Ave),Manhattan,_}ywFrmrbMnFyP,900.93,900,2,3/15/2026 12:40:12,453.0,1.99
81116,11th Avenue - Southbound - 57th St to 49th St,Manhattan,k}ywFhmrbMn^dV,2105.09,900,61,3/16/2026 16:15:01,84.0,25.06,11th Avenue - Southbound - 57th St to 49th St,Manhattan,k}ywFhmrbMn^dV,2105.09,900,85,3/15/2026 12:40:12,75.0,28.07
85077,10th Avenue - Northbound - 49th St to 57th St,Manhattan,ivxwFprrbMu^aV,2111.99,900,64,3/16/2026 16:15:01,129.0,16.37,10th Avenue - Northbound - 49th St to 57th St,Manhattan,ivxwFprrbMu^aV,2111.99,900,57,3/15/2026 12:40:12,140.0,15.09
85116,49th Street - Westbound - 10th Ave to 11th Ave,Manhattan,kvxwFprrbMoFzP,903.4,900,39,3/16/2026 16:15:01,32.0,28.23,49th Street - Westbound - 10th Ave to 11th Ave,Manhattan,kvxwFprrbMoFzP,903.4,900,49,3/15/2026 12:40:12,124.0,7.29
87088,Cross Bay Blvd - Southbound - Rockaway Blvd to 156th Ave,Queens,smhwFrxuaMrAFhASx@SxDc@nC_@nFeAbDm@fCo@dDQzCJ`B@|EKlCa@~KwBpJiBdJsAjCg@dDc@,6156.07,900,43,3/16/2026 16:15:01,472.0,13.04,Cross Bay Blvd - Southbound - Rockaway Blvd to 156th Ave,Queens,smhwFrxuaMrAFhASx@SxDc@nC_@nFeAbDm@fCo@dDQzCJ`B@|EKlCa@~KwBpJiBdJsAjCg@dDc@,6156.07,900,40,3/15/2026 12:40:12,350.5,17.56
91092,Cross Bay Blvd - Southbound - W 6th Rd to W 20th Rd,Queens,iqzvF~xpaMdCPpFd@xFf@lCR|Gh@lGl@nCTpGh@xK|@,3951.99,900,111,3/16/2026 16:15:01,129.0,30.64,Cross Bay Blvd - Southbound - W 6th Rd to W 20th Rd,Queens,iqzvF~xpaMdCPpFd@xFf@lCR|Gh@lGl@nCTpGh@xK|@,3951.99,900,42,3/15/2026 12:40:12,148.5,26.61
92144,Cross Bay Blvd - Southbound - 20 Rd to Beach Channel Dr @ Beach 116 St,Queens,_nxvF`cqaM`M~@bg@wIrLQ`Ah@pCfFz@hBdFhV`CzL`ClMXbGJdA~BrNnHp\,9819.22,900,33,3/16/2026 16:15:01,311.0,31.57,Cross Bay Blvd - Southbound - 20 Rd to Beach Channel Dr @ Beach 116 St,Queens,_nxvF`cqaM`M~@bg@wIrLQ`Ah@pCfFz@hBdFhV`CzL`ClMXbGJdA~BrNnHp\,9819.22,900,18,3/15/2026 12:40:12,703.0,13.97
93094,Ocean Pkwy - Southbound - Kings Hwy to Avenue U,Brooklyn,axyvFpumbMtR}B`\mD,2875.74,900,4,3/16/2026 16:15:01,323.5,8.89,Ocean Pkwy - Southbound - Kings Hwy to Avenue U,Brooklyn,axyvFpumbMtR}B`\mD,2875.74,900,8,3/15/2026 12:40:12,183.5,15.67
93113,Ocean Pkwy - Northbound - Kings Hwy to Avenue I,Brooklyn,iyyvFxqmbM{`CfW,7656.58,900,107,3/16/2026 16:15:01,527.0,14.53,Ocean Pkwy - Northbound - Kings Hwy to Avenue I,Brooklyn,iyyvFxqmbM{`CfW,7656.58,900,113,3/15/2026 12:40:12,380.0,20.15
94093,Ocean Pkwy - Northbound - Avenue U to Kings Hwy,Brooklyn,ogxvFhjmbMcMvAab@nE,2900.21,900,102,3/16/2026 16:15:01,196.5,14.76,Ocean Pkwy - Northbound - Avenue U to Kings Hwy,Brooklyn,ogxvFhjmbMcMvAab@nE,2900.21,900,135,3/15/2026 12:40:12,199.0,14.57
94098,Ocean Pkwy - Southbound - Avenue U to Avenue X,Brooklyn,kgxvFdlmbMd[gDzL~A,2482.41,900,6,3/16/2026 16:15:01,79.0,31.42,Ocean Pkwy - Southbound - Avenue U to Avenue X,Brooklyn,kgxvFdlmbMd[gDzL~A,2482.41,900,7,3/15/2026 12:40:12,162.0,15.32
95170,Woodhaven Blvd - Northbound - Furmanville Ave to Dry Harbor Rd,Queens,gepwF~yyaMuMlL}I~HiTbI,3142.13,900,89,3/16/2026 16:15:01,217.0,14.48,Woodhaven Blvd - Northbound - Furmanville Ave to Dry Harbor Rd,Queens,gepwF~yyaMuMlL}I~HiTbI,3142.13,900,121,3/15/2026 12:40:12,137.0,22.94
97099,Woodhaven Blvd - Southbound - Union Turnpike to Myrtle Ave,Queens,qhmwFbnxaMtEkH|BcEn@m@`Ee@,1390.94,900,204,3/16/2026 16:15:01,57.5,24.19,Woodhaven Blvd - Southbound - Union Turnpike to Myrtle Ave,Queens,qhmwFbnxaMtEkH|BcEn@m@`Ee@,1390.94,900,97,3/15/2026 12:40:12,40.0,34.77
98094,Ocean Pkwy - Northbound - Avenue X to Avenue U,Brooklyn,u}vvFvfmbM{L{AsEf@oT`C,2478.31,900,70,3/16/2026 16:15:01,555.0,4.47,Ocean Pkwy - Northbound - Avenue X to Avenue U,Brooklyn,u}vvFvfmbM{L{AsEf@oT`C,2478.31,900,105,3/15/2026 12:40:12,129.0,19.21
98100,Ocean Pkwy - Southbound - Avenue X to Shore Pkwy,Brooklyn,k}vvFzimbMbMpCtL`A`L~A,2427.04,900,87,3/16/2026 16:15:01,74.0,32.8,Ocean Pkwy - Southbound - Avenue X to Shore Pkwy,Brooklyn,k}vvFzimbMbMpCtL`A`L~A,2427.04,900,79,3/15/2026 12:40:12,105.0,23.11
100098,Ocean Pkwy - Northbound - Shore Pkwy to Avenue X,Brooklyn,qtuvFjpmbMkLcB}LeB{LeB,2440.72,900,6,3/16/2026 16:15:01,714.0,3.42,Ocean Pkwy - Northbound - Shore Pkwy to Avenue X,Brooklyn,qtuvFjpmbMkLcB}LeB{LeB,2440.72,900,6,3/15/2026 12:40:12,1179.0,2.07
100115,Ocean Pkwy - Southbound - Shore Pkwy to Sea Breeze Ave,Brooklyn,ktuvFhtmbM~q@tJrEx@,3416.59,900,21,3/16/2026 16:15:01,107.0,31.93,Ocean Pkwy - Southbound - Shore Pkwy to Sea Breeze Ave,Brooklyn,ktuvFhtmbM~q@tJrEx@,3416.59,900,16,3/15/2026 12:40:12,137.0,24.94
102103,34th Street - Westbound - 1st Ave to 2nd Ave,Manhattan,gxtwF~|nbMgEtM,744.96,900,2,3/16/2026 16:15:01,74.0,10.07,34th Street - Westbound - 1st Ave to 2nd Ave,Manhattan,gxtwF~|nbMgEtM,744.96,900,2,3/15/2026 12:40:12,108.0,6.9
103020,34th Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,e~twF~kobM{D|L,705.32,900,39,3/16/2026 16:15:01,88.0,8.02,34th Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,e~twF~kobM{D|L,705.32,900,25,3/15/2026 12:40:12,85.0,8.3
103102,34th Street - Eastbound - 2nd Ave to 1st Ave,Manhattan,k}twFnlobMhEsM,744.35,900,4,3/16/2026 16:15:01,178.0,4.18,34th Street - Eastbound - 2nd Ave to 1st Ave,Manhattan,k}twFnlobMhEsM,744.35,0,0,3/15/2026 12:40:12,0.0,0.0
103105,2nd Avenue - Southbound - 34th St to 23rd St,Manhattan,u}twFhlobM`j@l^,2872.45,900,23,3/16/2026 16:15:01,141.0,20.37,2nd Avenue - Southbound - 34th St to 23rd St,Manhattan,u}twFhlobM`j@l^,2872.45,900,25,3/15/2026 12:40:12,182.0,15.78
105045,23rd Street - Eastbound - 2nd Ave to 1st Ave,Manhattan,erswFblpbMfEyM,749.85,900,5,3/16/2026 16:15:01,641.0,1.17,23rd Street - Eastbound - 2nd Ave to 1st Ave,Manhattan,erswFblpbMfEyM,749.85,900,9,3/15/2026 12:40:12,204.0,3.68
106107,7th Avenue - Southbound - 23rd St to 14th St,Manhattan,oytwF|gsbMta@bX,2309.57,900,17,3/16/2026 16:15:01,173.0,13.35,7th Avenue - Southbound - 23rd St to 14th St,Manhattan,oytwF|gsbMta@bX,2309.57,900,28,3/15/2026 12:40:12,95.5,24.18
108078,34th Street - Eastbound - 11th Ave to 10th Ave,Manhattan,{awwFzotbMfFwP,891.65,900,2,3/16/2026 16:15:01,50.0,17.83,34th Street - Eastbound - 11th Ave to 10th Ave,Manhattan,{awwFzotbMfFwP,891.65,900,3,3/15/2026 12:40:12,27.0,33.02
109049,42nd Street - Eastbound - 10th Ave to 9th Ave,Manhattan,{ywwFjgsbMhF}P,900.64,900,4,3/16/2026 16:15:01,31.0,29.05,42nd Street - Eastbound - 10th Ave to 9th Ave,Manhattan,{ywwFjgsbMhF}P,900.64,900,4,3/15/2026 12:40:12,559.0,1.61
109080,42nd Street - Westbound - 10th Ave to 11th Ave,Manhattan,q{wwFffsbMoFpP,891.38,900,12,3/16/2026 16:15:01,36.5,24.42,42nd Street - Westbound - 10th Ave to 11th Ave,Manhattan,q{wwFffsbMoFpP,891.38,900,14,3/15/2026 12:40:12,39.5,22.57
109085,10th Avenue - Northbound - 42nd St to 49th St,Manhattan,uzwwFxfsbMsZgS,1844.34,900,38,3/16/2026 16:15:01,120.5,15.31,10th Avenue - Northbound - 42nd St to 49th St,Manhattan,uzwwFxfsbMsZgS,1844.34,900,44,3/15/2026 12:40:12,129.5,14.24
111112,Ocean Pkwy - Northbound - Ditmas Ave to Church Ave,Brooklyn,ew_wFhunbMsv@xI,3281.96,900,2,3/16/2026 16:15:01,1066.0,3.08,Ocean Pkwy - Northbound - Ditmas Ave to Church Ave,Brooklyn,ew_wFhunbMsv@xI,3281.96,0,0,3/15/2026 12:40:12,0.0,0.0
111113,Ocean Pkwy - Southbound - Ditmas Ave to Avenue I,Brooklyn,ov_wFj{nbMvz@wJ,3526.24,900,202,3/16/2026 16:15:01,277.0,12.73,Ocean Pkwy - Southbound - Ditmas Ave to Avenue I,Brooklyn,ov_wFj{nbMvz@wJ,3526.24,900,157,3/15/2026 12:40:12,200.0,17.63
112111,Ocean Pkwy - Southbound - Church Ave to Ditmas Ave,Brooklyn,qlawFteobM`u@sI,3190.53,900,234,3/16/2026 16:15:01,233.0,13.69,Ocean Pkwy - Southbound - Church Ave to Ditmas Ave,Brooklyn,qlawFteobM`u@sI,3190.53,900,180,3/15/2026 12:40:12,163.0,19.57
113093,Ocean Pkwy - Southbound - Avenue I to Kings Hwy,Brooklyn,yz}vF|onbMdbCyW,7735.94,900,108,3/16/2026 16:15:01,335.5,23.06,Ocean Pkwy - Southbound - Avenue I to Kings Hwy,Brooklyn,yz}vF|onbMdbCyW,7735.94,900,65,3/15/2026 12:40:12,382.0,20.25
113111,Ocean Pkwy - Northbound - Avenue I to Ditmas Ave,Brooklyn,c{}vF|inbMa{@nJ,3542.67,900,118,3/16/2026 16:15:01,224.5,15.78,Ocean Pkwy - Northbound - Avenue I to Ditmas Ave,Brooklyn,c{}vF|inbMa{@nJ,3542.67,900,160,3/15/2026 12:40:12,163.5,21.67
116080,11th Avenue - Southbound - 49th St to 42nd St,Manhattan,y}xwFldsbMpZ`S,1837.13,900,6,3/16/2026 16:15:01,123.5,14.88,11th Avenue - Southbound - 49th St to 42nd St,Manhattan,y}xwFldsbMpZ`S,1837.13,900,5,3/15/2026 12:40:12,112.0,16.4
